City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,arraial do cabo,-22.9661,-42.0278,91.36,39,0,17.27,BR,1659113009
85,zhicheng,30.2956,111.5047,77.18,83,0,3.69,CN,1659113010
86,east london,-33.0153,27.9116,59.94,77,0,6.91,ZA,1659113010
87,bengkulu,-3.8004,102.2655,74.98,86,98,4.79,ID,1659113010
88,talnakh,69.4865,88.3972,65.16,73,0,4.61,RU,1659113011
89,najran,17.4924,44.1277,93.85,20,86,9.71,SA,1659113011
90,saskylakh,71.9167,114.0833,59.88,78,100,3.42,RU,1659113011
91,soyo,-6.1349,12.3689,72.7,77,26,9.37,AO,1659113011
92,kokopo,-4.352,152.2633,77.49,78,67,2.35,PG,1659113012
93,fortuna,40.5982,-124.1573,63.93,87,100,1.01,US,1659113012
94,touros,-5.1989,-35.4608,82.78,68,89,14.94,BR,1659113012
95,wellsford,-36.2833,174.5167,47.17,96,93,2.68,NZ,1659113013
96,jamestown,42.097,-79.2353,76.51,45,40,12.66,US,1659113013
97,busselton,-33.65,115.3333,53.01,63,95,23.82,AU,1659112921
98,male,4.1748,73.5089,81.93,79,86,14.29,MV,1659112872
99,gorontalo,0.5412,123.0595,74.07,96,93,2.28,ID,1659113013
100,balikpapan,-1.2675,116.8289,81.59,89,20,1.14,ID,1659113014
101,barabinsk,55.3571,78.357,63.39,74,17,13.65,RU,1659113014
102,puerto ayora,-0.7393,-90.3518,76.96,93,99,8.01,EC,1659113014
103,qaanaaq,77.484,-69.3632,40.96,56,7,2.08,GL,1659113016
104,kakching,24.4833,93.9833,71.22,96,77,1.95,IN,1659113016
105,bethel,41.3712,-73.414,87.21,54,0,5.75,US,1659113016
106,iberia,29.9502,-91.7507,92.97,58,0,5.75,US,1659113016
107,pandan,14.0453,124.1694,80.47,87,98,8.68,PH,1659113017
108,beloha,-25.1667,45.05,67.17,80,19,16.42,MG,1659113017
109,zuya,45.0531,34.3154,77.9,43,19,5.01,UA,1659113017
110,dikson,73.5069,80.5464,41.77,98,97,6.93,RU,1659113018
111,coquimbo,-29.9533,-71.3436,55.13,87,100,5.75,CL,1659112837
112,chupa,66.27,33.0549,54.03,76,100,11.95,RU,1659113018
113,port elizabeth,-33.918,25.5701,60.31,86,20,13.0,ZA,1659113018
114,bilibino,68.0546,166.4372,42.64,82,11,2.46,RU,1659113018
115,aswan,24.0934,32.907,100.04,12,72,9.91,EG,1659113019
116,pevek,69.7008,170.3133,43.54,76,8,15.14,RU,1659113019
117,mar del plata,-38.0023,-57.5575,60.94,56,0,10.36,AR,1659113019
118,rocha,-34.4833,-54.3333,54.54,61,53,12.77,UY,1659112861
119,bluff,-46.6,168.3333,44.47,74,81,14.09,NZ,1659113020
120,santa maria,-29.6842,-53.8069,56.5,67,75,9.22,BR,1659113007
121,balkhash,46.844,74.9804,76.6,48,100,14.34,KZ,1659113020
122,bambous virieux,-20.3428,57.7575,70.05,73,75,16.11,MU,1659113020
123,mae sai,20.4335,99.8762,75.25,94,99,1.61,TH,1659113021
124,varena,54.2167,24.5667,62.91,64,65,4.88,LT,1659113021
125,alta floresta,-9.8756,-56.0861,94.82,26,20,6.91,BR,1659113021
126,husavik,66.0449,-17.3389,43.2,89,100,8.88,IS,1659113021
127,arti,56.4234,58.5328,64.96,63,100,4.41,RU,1659113022
128,usinsk,65.9939,57.5281,68.29,82,67,8.01,RU,1659113022
129,isoka,-10.1606,32.6335,65.5,47,80,4.0,ZM,1659113022
130,saint-raphael,19.4333,-72.2,79.97,54,6,7.34,HT,1659113023
131,washougal,45.5826,-122.3534,85.26,67,0,6.91,US,1659113023
132,hithadhoo,-0.6,73.0833,81.09,77,100,19.06,MV,1659113023
133,bonthe,7.5264,-12.505,80.71,58,35,8.93,SL,1659113023
134,georgetown,5.4112,100.3354,84.13,88,20,3.44,MY,1659112942
135,phonhong,18.5007,102.4166,78.73,88,99,0.63,LA,1659113024
136,kangaatsiaq,68.3065,-53.4641,40.82,95,100,6.53,GL,1659113024
137,cedral,23.8,-100.7333,72.54,50,85,12.75,MX,1659113024
138,bathsheba,13.2167,-59.5167,86.61,84,20,17.27,BB,1659113025
139,fereydun kenar,36.6864,52.5225,79.02,89,75,0.0,IR,1659113025
140,port alfred,-33.5906,26.891,62.44,69,1,4.45,ZA,1659113025
141,nuevo progreso,23.1667,-97.95,89.55,60,95,5.01,MX,1659113025
142,san quintin,30.4833,-115.95,71.91,67,46,8.14,MX,1659113026
143,nemuro,43.3236,145.575,64.06,95,98,6.11,JP,1659112960
144,olafsvik,64.8945,-23.7142,49.41,62,68,9.55,IS,1659113026
145,muzhi,65.3667,64.6667,69.01,54,46,5.5,RU,1659113026
146,piacabucu,-10.4056,-36.4344,79.03,75,83,8.55,BR,1659113027
147,homer,59.6425,-151.5483,64.78,73,0,5.99,US,1659112974
148,vardo,70.3705,31.1107,51.78,71,0,8.05,NO,1659113027
149,kondoa,-4.9,35.7833,63.95,59,72,5.91,TZ,1659113027
